Date;Country;CPI
1.7.16;Colombia;0.52
1.8.16;Colombia;-0.32
1.9.16;Colombia;-0.05
1.10.16;Colombia;-0.06
1.11.16;Colombia;0.11
1.12.16;Colombia;0.41
1.1.17;Colombia;1.03
1.2.17;Colombia;1.00
1.3.17;Colombia;0.47
1.4.17;Colombia;0.47
1.5.17;Colombia;0.23
1.6.17;Colombia;0.12
1.7.17;Colombia;-0.05
1.8.17;Colombia;0.14
1.9.17;Colombia;0.04
1.10.17;Colombia;0.01
1.11.17;Colombia;0.18
1.12.17;Colombia;0.38
1.1.18;Colombia;0.63
1.2.18;Colombia;0.71
1.3.18;Colombia;0.24
1.4.18;Colombia;0.46
1.5.18;Colombia;0.25
1.6.18;Colombia;0.15
1.7.18;Colombia;-0.13
1.8.18;Colombia;0.12
1.9.18;Colombia;0.16
1.10.18;Colombia;0.12
1.11.18;Colombia;0.12
1.12.18;Colombia;0.30
1.1.19;Colombia;0.60
1.2.19;Colombia;0.57
1.3.19;Colombia;0.43
1.4.19;Colombia;0.50
1.5.19;Colombia;0.31
1.6.19;Colombia;0.27
1.7.19;Colombia;0.22
1.8.19;Colombia;0.08
1.9.19;Colombia;0.23
1.10.19;Colombia;0.16
1.11.19;Colombia;0.11
1.12.19;Colombia;0.26
1.1.20;Colombia;0.42
1.2.20;Colombia;0.67
1.3.20;Colombia;0.57
1.4.20;Colombia;0.16
1.5.20;Colombia;-0.32
1.6.20;Colombia;-0.38
1.7.20;Colombia;0.00
1.8.20;Colombia;-0.01
1.9.20;Colombia;0.32
1.10.20;Colombia;-0.06
1.11.20;Colombia;-0.15
1.12.20;Colombia;0.38
1.1.21;Colombia;0.41
1.2.21;Colombia;0.64
1.3.21;Colombia;0.51
1.4.21;Colombia;0.59
1.5.21;Colombia;1.00
1.6.21;Colombia;-0.05
1.7.21;Colombia;0.32
1.8.21;Colombia;0.45
1.9.21;Colombia;0.38
1.10.21;Colombia;0.01
1.11.21;Colombia;0.50
1.12.21;Colombia;0.73
1.1.22;Colombia;1.67
1.2.22;Colombia;1.63
1.3.22;Colombia;1.00
1.4.22;Colombia;1.25
1.5.22;Colombia;0.84
1.6.22;Colombia;0.51
1.7.22;Colombia;0.81
1.8.22;Colombia;1.02
1.9.22;Colombia;0.93
1.10.22;Colombia;0.72
1.11.22;Colombia;0.77
1.12.22;Colombia;1.26
1.1.23;Colombia;1.78
1.2.23;Colombia;1.66
1.3.23;Colombia;1.05
1.4.23;Colombia;0.78
1.5.23;Colombia;0.43
1.6.23;Colombia;0.30
1.7.23;Colombia;0.50
1.8.23;Colombia;0.70
1.9.23;Colombia;0.54
1.10.23;Colombia;0.25
1.11.23;Colombia;0.47
1.12.23;Colombia;0.45
1.1.24;Colombia;0.92
1.2.24;Colombia;1.09
1.3.24;Colombia;0.70
1.4.24;Colombia;0.59
1.5.24;Colombia;0.43
1.6.24;Colombia;0.32
1.7.24;Colombia;0.20
1.8.24;Colombia;0.00
1.9.24;Colombia;0.24
1.1.12;Czechia;1.78
1.2.12;Czechia;0.31
1.3.12;Czechia;0.10
1.4.12;Czechia;0.00
1.5.12;Czechia;0.20
1.6.12;Czechia;0.20
1.7.12;Czechia;-0.10
1.8.12;Czechia;-0.10
1.9.12;Czechia;-0.10
1.10.12;Czechia;0.31
1.11.12;Czechia;-0.31
1.12.12;Czechia;0.10
1.1.13;Czechia;1.33
1.2.13;Czechia;0.10
1.3.13;Czechia;0.10
1.4.13;Czechia;0.00
1.5.13;Czechia;-0.20
1.6.13;Czechia;0.40
1.7.13;Czechia;-0.20
1.8.13;Czechia;-0.20
1.9.13;Czechia;-0.40
1.10.13;Czechia;0.20
1.11.13;Czechia;-0.10
1.12.13;Czechia;0.40
1.1.14;Czechia;0.10
1.2.14;Czechia;0.10
1.3.14;Czechia;0.00
1.4.14;Czechia;0.00
1.5.14;Czechia;0.10
1.6.14;Czechia;0.00
1.7.14;Czechia;0.30
1.8.14;Czechia;-0.10
1.9.14;Czechia;-0.30
1.10.14;Czechia;0.20
1.11.14;Czechia;-0.30
1.12.14;Czechia;0.00
1.1.15;Czechia;0.00
1.2.15;Czechia;0.20
1.3.15;Czechia;0.10
1.4.15;Czechia;0.30
1.5.15;Czechia;0.30
1.6.15;Czechia;0.10
1.7.15;Czechia;-0.10
1.8.15;Czechia;-0.20
1.9.15;Czechia;-0.20
1.10.15;Czechia;0.00
1.11.15;Czechia;-0.40
1.12.15;Czechia;-0.10
1.1.16;Czechia;0.60
1.2.16;Czechia;0.10
1.3.16;Czechia;-0.10
1.4.16;Czechia;0.60
1.5.16;Czechia;-0.20
1.6.16;Czechia;0.10
1.7.16;Czechia;0.30
1.8.16;Czechia;-0.10
1.9.16;Czechia;-0.30
1.10.16;Czechia;0.30
1.11.16;Czechia;0.40
1.12.16;Czechia;0.30
1.1.17;Czechia;0.79
1.2.17;Czechia;0.39
1.3.17;Czechia;0.00
1.4.17;Czechia;0.00
1.5.17;Czechia;0.19
1.6.17;Czechia;0.00
1.7.17;Czechia;0.49
1.8.17;Czechia;-0.10
1.9.17;Czechia;-0.10
1.10.17;Czechia;0.48
1.11.17;Czechia;0.10
1.12.17;Czechia;0.10
1.1.18;Czechia;0.58
1.2.18;Czechia;0.00
1.3.18;Czechia;-0.10
1.4.18;Czechia;0.29
1.5.18;Czechia;0.48
1.6.18;Czechia;0.38
1.7.18;Czechia;0.19
1.8.18;Czechia;0.09
1.9.18;Czechia;-0.28
1.10.18;Czechia;0.38
1.11.18;Czechia;-0.09
1.12.18;Czechia;0.09
1.1.19;Czechia;1.04
1.2.19;Czechia;0.19
1.3.19;Czechia;0.19
1.4.19;Czechia;0.09
1.5.19;Czechia;0.65
1.6.19;Czechia;0.18
1.7.19;Czechia;0.37
1.8.19;Czechia;0.09
1.9.19;Czechia;-0.55
1.10.19;Czechia;0.46
1.11.19;Czechia;0.28
1.12.19;Czechia;0.18
1.1.20;Czechia;1.46
1.2.20;Czechia;0.27
1.3.20;Czechia;-0.09
1.4.20;Czechia;-0.18
1.5.20;Czechia;0.36
1.6.20;Czechia;0.63
1.7.20;Czechia;0.45
1.8.20;Czechia;0.00
1.9.20;Czechia;-0.62
1.10.20;Czechia;0.18
1.11.20;Czechia;0.00
1.12.20;Czechia;-0.18
1.1.21;Czechia;1.34
1.2.21;Czechia;0.18
1.3.21;Czechia;0.18
1.4.21;Czechia;0.53
1.5.21;Czechia;0.17
1.6.21;Czechia;0.52
1.7.21;Czechia;1.04
1.8.21;Czechia;0.69
1.9.21;Czechia;0.17
1.10.21;Czechia;1.02
1.11.21;Czechia;0.17
1.12.21;Czechia;0.42
1.1.22;Czechia;4.44
1.2.22;Czechia;1.28
1.3.22;Czechia;1.66
1.4.22;Czechia;1.79
1.5.22;Czechia;1.76
1.6.22;Czechia;1.58
1.7.22;Czechia;1.33
1.8.22;Czechia;0.44
1.9.22;Czechia;0.80
1.10.22;Czechia;-1.44
1.11.22;Czechia;1.17
1.12.22;Czechia;0.00
1.1.23;Czechia;6.01
1.2.23;Czechia;0.61
1.3.23;Czechia;0.14
1.4.23;Czechia;-0.20
1.5.23;Czechia;0.27
1.6.23;Czechia;0.34
1.7.23;Czechia;0.47
1.8.23;Czechia;0.20
1.9.23;Czechia;-0.74
1.10.23;Czechia;0.07
1.11.23;Czechia;0.07
1.12.23;Czechia;-0.40
1.1.24;Czechia;1.49
1.2.24;Czechia;0.27
